#	Author(s) (year)	n	"Sex
(F/M)"	"Hand.
(L/R)"	Mean age (SD)	Age range	Semantic task	Task category	No. of peaks
1	Arnoldussen (2006)	11	NA	NA	11.6 (1.0)	9–13	Picture–word matching vs. shape matching	Knowledge	12
2	Arnoldussen (2006)	11	NA	NA	7.9 (0.6)	7–8	Picture–word matching vs. shape matching	Knowledge	11
3	Aylward et al. (2005)	11	4/7	10/1	9.3 (0.9)	8–10	Viewing faces vs. viewing houses	Objects	6
4	Backes et al. (2002)	8	0/8	8/0	11.6 (0.7)	11–12	Animal/no-animal judgment vs. fixation	Knowledge	8
5	Balsamo et al. (2002)	11	7/4	11/0	8.5 (0.9)	7–9	Naming after description vs. rest	Knowledge	26
6	Balsamo et al. (2006)	23	13/10	22/1	8.5 (1.5)	5–10	Category–word judgment vs. tone detection	Knowledge	9
7	Bauer et al (2017)	14	7/7	14/0	10.3 (0.9)	8–11	Object size or animacy judgment vs. fixation	Knowledge	12
8	Berl et al. (2014)	57	26/31	57/0	8.9 (NA)	4–12	Definition–word matching vs. tone detection	Knowledge	15
9	Booth et al. (2001)	5	0/5	5/0	11.1 (NA)	9–12	Word relatedness judgement vs. tone/symbol matching	Relatedness	9
10	Booth et al. (2003)	15	8/7	15/0	10.7 (NA)	9–11	Word relatedness judgement vs. tone/symbol matching	Relatedness	4
11	Booth et al. (2007)	13	4/9	13/0	10.5 (2.2)	9–15	Word relatedness judgement vs. false font matching	Relatedness	15
12	Brauer & Friederici (2007)	12	8/4	12/0	6.2 (NA)	5–6	Semantic sentence acceptability judgment vs. rest	Knowledge	24
13	Cao et al. (2008)	13	6/7	13/0	11.2 (NA)	9–12	Word relatedness judgement vs. symbol string matching	Relatedness	9
14	Chou et al. (2006)	35	22/13	35/0	11.7 (2.1)	9–15	Word relatedness judgment vs. color change detection	Relatedness	20
15	Chou et al. (2006)	26	NA	26/0	12.1 (2.0)	9–15	Word relatedness judgment vs. color change detection	Relatedness	18
16	Chou et al. (2009)	33	16/17	33/0	12.3 (1.8)	8–15	Word relatedness judgment vs. non-character matching	Relatedness	20
17	Chou et al. (2019)	16	5/11	16/0	12.1 (1.4)	10–14	Word relatedness judgement (multiple contrasts)	Relatedness	5
18	Corbett et al. (2009)	15	2/13	NA	9.2 (1.4)	8–12	Sequential matching of faces vs. things 	Objects	4
19	Dekker et al. (2014)	10	2/8	10/0	9.8 (0.4)	9–10	Categorical one-back task (multiple categories)	Objects	10
20	Dekker et al. (2014)	11	4/7	11/0	7.6 (0.4)	7–8	Categorical one-back task (multiple categories)	Objects	7
21	Fan et al. (2020)	26	14/12	26/0	9.8 (1.5)	8–12	Word relatedness judgment vs. visual cue detection	Relatedness	4
22	Gaillard et al. (2001)	9	4/5	9/0	10.2 (NA)	7–13	Naming after description vs. dot pattern viewing	Knowledge	4
23	Gaillard et al. (2003)	16	9/7	16/0	10.2 (NA)	7–14	Word generation to category names vs. rest	Knowledge	13
24	Horowitz-Kraus et al. (2015)	23	15/8	23/0	8.5 (0.8)	7–9	Sentence–picture matching vs. word–picture matching	Knowledge	28
25	Kersey et al. (2016)	29	12/17	NA	6.6 (NA)	4–8	Picture matching with tools vs. other categories	Objects	30
26	Krishnan et al. (2015)	37	19/18	37/0	9.7 (NA)	7–12	Picture matching vs. saying “silly”	Knowledge	5
27	Krishnan et al. (2021)	67	NA	NA	12.1 (1.7)	10–15	Verb generation to pictures vs. rest	Knowledge	22
28	Lee et al. (2011)	23	11/12	23/0	12.8 (1.5)	10–15	Word relatedness judgment vs. word–tone matching	Relatedness	21
29	Lee et al. (2011)	23	11/12	23/0	12.8 (1.5)	10–15	Word relatedness judgment vs. non-character matching	Relatedness	16
30	Lee et al. (2016)	30	14/16	30/0	11.8 (1.9)	8–15	Word relatedness judgment vs. non-character matching	Relatedness	6
31	Libertus et al. (2009)	15	7/8	NA	8.7 (NA)	8–9	Two-back task with faces vs. other categories	Objects	12
32	Liebig et al. (2017)	41	18/23	41/0	11.9 (NA)	9–13	Animacy judgment vs. visual symbol judgment	Objects	15
33	Mathur et al. (2020)	19	11/8	19/0	6.6 (NA)	5–7	Word–picture relatedness judgment vs. symbol string matching	Relatedness	10
34	Meyler et al. (2008)	12	9/3	12/0	10.8 (0.4)	NA	Semantic sentence acceptability judgment vs. fixation	Knowledge	13
35	Monzalvo et al. (2012)	23	11/12	NA	9.6 (0.5)	8–10	Target detection while viewing faces/houses vs. other categories	Objects	10
36	Moore-Parks et al. (2010)	23	12/11	23/0	8.8 (1.1)	7–10	Definition–word matching vs. reversed speech	Knowledge	15
37	Okamoto et al. (2017)	12	1/11	11/1	11.3 (1.3)	NA	Viewing bodies/faces vs. other categories	Objects	10
38	Passarotti et al. (2003)	12	8/4	12/0	NA (NA)	10–12	Face matching vs. detecting scrambled faces	Objects	15
39	Schafer et al. (2009)	26	15/11	24/2	12.2 (0.4)	NA	Word relatedness judgment vs. visual symbol judgment	Relatedness	8
40	Scherf et al. (2007)	10	4/6	10/0	12.5 (1.0)	11–14	Viewing movies of faces/places/objects vs. other categories	Objects	34
41	Scherf et al. (2007)	10	4/6	10/0	7.2 (1.0)	5–8	Viewing movies of faces/places/objects vs. other categories	Objects	24
42	Scherf et al. (2010)	10	0/10	10/0	12.4 (1.3)	10–14	Viewing movies of faces/places/objects vs. other categories	Objects	47
43	Siok et al. (2004)	8	4/4	8/0	11.1 (NA)	10–12	Chinese character judgment vs. fixation	Knowledge	17
44	Skeide et al. (2014)	20	8/12	20/0	10.3 (NA)	9–10	Picture–sentence matching (plausible vs. implausible)	Knowledge	1
45	Skeide et al. (2014)	20	11/9	20/0	7.4 (NA)	6–7	Picture–sentence matching (plausible vs. implausible)	Knowledge	1
46	Szaflarski et al. (2006)	29	15/14	NA	NA (NA)	5–11	Verb generation to nouns vs. finger tapping to tones	Knowledge	10
47	Vannest et al. (2012)	15	6/9	15/0	9.2 (NA)	7–14	Animal judgement vs. tone detection	Knowledge	4
48	Wong et al. (2019)	38	0/38	38/0	11.9 (1.0)	NA	Word relatedness judgement (multiple contrasts)	Relatedness	18
49	Wu et al. (2016)	30	20/10	30/0	5.5 (0.3)	5–5	Sentence listening (prototypical, neutral, non-prototypical)	Knowledge	12
50	Xue et al. (2004)	12	6/6	12/0	11.6 (NA)	10–12	Word relatedness judgment vs. fixation	Relatedness	18
